,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04530.11,1.09833690542814e-15,0.00207328071257562,0.448,0.281,3.41582777588152e-13,21,hsa04530
hsa04975.11,1.1201929962629e-15,7.81189310825525e-05,0.66,0.525,3.48380021837763e-13,21,hsa04975
hsa00240.13,2.57469880516729e-14,0.000394997763611048,0.334,0.25,8.00731328407027e-12,21,hsa00240
hsa04923.12,5.02465024391074e-14,0.000653083307792458,0.991,0.911,1.56266622585624e-11,21,hsa04923
hsa00380.12,8.52821089469759e-14,0.000951897506700913,0.163,0.144,2.65227358825095e-11,21,hsa00380
hsa04920.13,1.05309806255478e-13,0.00102919501502039,0.627,0.512,3.27513497454537e-11,21,hsa04920
hsa04928.13,1.46610123300003e-12,0.00751743150086874,0.739,0.736,4.55957483463008e-10,21,hsa04928
hsa00910.14,3.75194705502843e-12,0.000287828359031765,0.109,0.134,1.16685553411384e-09,21,hsa00910
hsa04120.14,2.75180335143879e-11,0.00231394694839832,0.283,0.141,8.55810842297464e-09,21,hsa04120
hsa00830.11,5.3397148208601e-11,0.00010766155152449,0.274,0.277,1.66065130928749e-08,21,hsa00830
hsa04390.14,7.7873174476882e-11,0.00128742287587157,0.319,0.192,2.42185572623103e-08,21,hsa04390
hsa00531.10,1.36913838805308e-10,4.74420910918303e-05,0.625,0.431,4.25802038684507e-08,21,hsa00531
hsa04721.13,5.14839373455705e-10,0.000468628988577029,0.531,0.427,1.60115045144724e-07,21,hsa04721
hsa00062.11,6.34680647336656e-10,0.000252269838678974,0.42,0.315,1.973856813217e-07,21,hsa00062
hsa05216.13,1.43690391030587e-09,0.000596239773538735,0.7,0.573,4.46877116105126e-07,21,hsa05216
hsa05214.13,1.63559173146645e-09,0.000896337962578234,0.355,0.188,5.08669028486067e-07,21,hsa05214
hsa05225.9,2.03349312291007e-09,0.00100409340941735,0.518,0.394,6.3241636122503e-07,21,hsa05225
hsa05204.13,3.58488640615713e-09,4.94845941118535e-05,0.199,0.212,1.11489967231487e-06,21,hsa05204
hsa04630.12,4.52165259604961e-09,0.000530522643653841,0.407,0.249,1.40623395737143e-06,21,hsa04630
hsa00620.13,4.95951628481349e-09,0.000604106287405329,0.156,0.153,1.542409564577e-06,21,hsa00620
hsa00051.13,5.05518359536752e-09,0.000140015541341986,0.161,0.218,1.5721620981593e-06,21,hsa00051
hsa04614.3,7.24359173140146e-09,4.3184911145961e-05,0.124,0.075,2.25275702846585e-06,21,hsa04614
hsa04010.13,1.15742451424721e-08,0.00120945471174948,0.835,0.769,3.59959023930882e-06,21,hsa04010
hsa04371.12,1.95901685360058e-08,0.000935877223188867,0.597,0.481,6.09254241469781e-06,21,hsa04371
hsa05213.9,9.62108831726844e-08,0.00106025296986757,0.499,0.361,2.99215846667048e-05,21,hsa05213
hsa00860.11,1.08716347985492e-07,6.76080338019682e-05,0.122,0.149,3.3810784223488e-05,21,hsa00860
hsa00980.10,2.13859851689756e-07,5.50195307187418e-05,0.221,0.23,6.65104138755142e-05,21,hsa00980
hsa00072.14,3.87130870534314e-07,0.000150586116916412,0.109,0.102,0.000120397700736172,21,hsa00072
hsa04710.11,4.56768995677969e-07,0.000648877261588813,0.276,0.16,0.000142055157655848,21,hsa04710
hsa00450.10,4.84859096368029e-07,0.000339691189915467,0.069,0.125,0.000150791178970457,21,hsa00450
hsa04670.14,6.29521841075147e-07,0.000570276484062657,0.353,0.219,0.000195781292574371,21,hsa04670
hsa04261.10,7.90282858370753e-07,0.000485325637317576,0.745,0.659,0.000245777968953304,21,hsa04261
hsa04144.13,1.67873343071147e-06,0.00258316147078197,0.565,0.452,0.000522086096951268,21,hsa04144
hsa00770.10,4.38620986008366e-06,0.000744023941346942,0.475,0.413,0.00136411126648602,21,hsa00770
