,PCC,pvalue,adj_logp,adj_pvalue,weight_pcc
ENSG00000270127,-0.0338926181427043,0.553807669006895,0,1,0
ENSG00000270139,-0.00676748100426919,0.0165653242699418,0,1,0
ENSG00000270141,-0.0116787544183617,0.859130468764275,0,1,0
ENSG00000270147,-0.030274472243197,0.856265535742562,0,1,0
ENSG00000270149,-0.0856901469956022,0.971111398071534,0,1,0
ENSG00000270154,-0.00561501420677403,0.0052965240472385,0,1,0
LOC101928557,-0.0146259934775,0.19988303118363,0,1,0
LINC01480,-0.00495135855140946,0.01471921928366,0,1,0
ENSG00000270168,-0.0187147526270301,0.895656376885679,0,1,0
NCBP2AS2,-0.017040834081456,0.152008816238598,0,1,0
ENSG00000270171,-0.0220587661349539,0.51086997792203,0,1,0
LOC101927950,-0.0233764929320008,0.630248084621554,0,1,0
ENSG00000270175,-0.00283143560301109,0.102400436718391,0,1,0
ENSG00000270177,-0.00368916863069238,0.0522697248063119,0,1,0
ENSG00000270178,-0.00334353140160125,0.786649799641699,0,1,0
BIVM-ERCC5,0.047233930571741,0.00109858163365936,0,1,0
ENSG00000270182,-0.00152808029345023,0.456859183401859,0,1,0
ENSG00000270184,-0.0204979905644309,0.534622834592377,0,1,0
ENSG00000270188,0.00253875509030521,0.590788924926317,0,1,0
GOLGA4-AS1,-0.0277287046266456,0.000322142710843289,0,1,0
ENSG00000270195,-0.0180414695143326,0.776484592146656,0,1,0
GTF3C6P3,-0.0194380713395809,0.820657658665871,0,1,0
ENSG00000270204,-0.00835159657958777,0.676845079360138,0,1,0
ENSG00000270207,0.00212127051025107,0.65447608885245,0,1,0
ENSG00000270209,-0.00283120208547247,0.590788924926317,0,1,0
ENSG00000270210,-0.0283623047823772,0.881944393771934,0,1,0
ENSG00000270218,-0.0175928587681605,0.91869782447567,0,1,0
ENSG00000270228,-0.0185833868313775,0.140107328442822,0,1,0
NBPF8,-0.0393101255605523,0.989155037672,0,1,0
ENSG00000270236,-0.00800381894237062,0.874184200457651,0,1,0
LOC105371745,-0.0181805367301114,0.879056358069235,0,1,0
ENSG00000270244,-0.00406781911659182,0.712946557045741,0,1,0
ENSG00000270248,-0.00174206154094523,0.65447608885245,0,1,0
ENSG00000270249,0.000425079752202549,0.000146683656238778,0,1,0
ENSG00000270255,-0.0297145750620396,0.669132710808411,0,1,0
ENSG00000270258,0.0039524663695064,0.129776156075975,0,1,0
NDUFB8P2,-0.00404594908497841,0.140203355789032,0,1,0
ENSG00000270265,0.00058191961896139,0.55569866803067,0,1,0
ENSG00000270269,-0.0141793121945616,0.627125997801146,0,1,0
BNIP3P10,-0.0106941856565426,0.615745129936406,0,1,0
ENSG00000270281,0.00247594577069873,0.266496074658574,0,1,0
ENSG00000270282,-0.0296180699605174,0.883361969688107,0,1,0
RPS27P30,-0.0344229308834618,0.863384434126338,0,1,0
LOC100419046,-0.0209948568971201,0.874235558948349,0,1,0
ENSG00000270294,-0.00705397583288521,0.847622220808896,0,1,0
ENSG00000270296,-0.00520134390161782,0.712946557045741,0,1,0
ENSG00000270300,-0.0126956805963193,0.873824281302577,0,1,0
LOC100533631,-0.0283101364356274,0.621474577045626,0,1,0
ENSG00000270316,-0.011467536549521,0.0412907640557567,0,1,0
ENSG00000270321,0.0036571671145698,0.0554083264617721,0,1,0
ENSG00000270324,-0.00779149467701592,0.786649799641699,0,1,0
BNIP3P9,-0.0066712143860664,0.786649799641699,0,1,0
SMIM15P2,-0.00978730596579607,0.696041554620751,0,1,0
SMC2-DT,-0.00711256256941032,0.289159240190898,0,1,0
XIAPP1,0.000508408015817367,0.696041554620751,0,1,0
ENSG00000270335,-0.0031899647379013,0.200129938379419,0,1,0
ENSG00000270342,0.0056124314020651,0.754378780430953,0,1,0
ENSG00000270343,0.0077657042405541,0.00288266450148394,0,1,0
ENSG00000270344,-0.0665438271660112,0.243394981885702,0,1,0
ENSG00000270361,0.00792216303977017,0.0023867021084357,0,1,0
HMGN3-AS1,-0.0506994290445887,0.00321821505871562,0,1,0
ENSG00000270367,0.00221941415327901,0.0618635020734773,0,1,0
SMIM11P2,-0.00746913051205234,0.500168621519458,0,1,0
HEATR9,-0.00820494468983467,0.820657658665871,0,1,0
RFPL4AP4,-0.0126323814895394,0.177144369728429,0,1,0
SFXN4P1,0.00667448486320657,0.165191619870837,0,1,0
PFN1P2,-0.0311757838797175,0.99298434769837,0,1,0
ENSG00000270402,-0.0203297881632972,0.524901326202304,0,1,0
ENSG00000270403,-0.042203477225346,0.735567011931737,0,1,0
ENSG00000270405,-0.0420878053901757,0.94029339153167,0,1,0
ENSG00000270409,-0.0169203830315686,0.0180771467634194,0,1,0
ENSG00000270413,0.00293110103862539,0.728089294023752,0,1,0
CAHM,-0.00883192253264007,0.85071653923747,0,1,0
ENSG00000270421,-0.0503627438190011,0.966918608637219,0,1,0
ENSG00000270422,-0.00668398197368068,0.590788924926317,0,1,0
PAWRP2,-0.0201596974437996,0.739450574414736,0,1,0
ENSG00000270427,-0.0219681541848527,0.468705559847743,0,1,0
KNOP1P2,-0.0256806887234788,0.800963107064375,0,1,0
ENSG00000270431,-0.00369369605065788,0.590788924926317,0,1,0
OR7E108P,-0.00287961142868276,0.696041554620751,0,1,0
ENSG00000270433,-0.00357869046953716,0.484915720331217,0,1,0
ENSG00000270434,-0.000683252215326269,0.538591352999847,0,1,0
ENSG00000270440,-0.00954684394866911,0.0947935127345003,0,1,0
ENSG00000270441,-0.000319698197208429,0.554211557544734,0,1,0
PPIGP1,0.00802854664411683,0.834869235590135,0,1,0
COPS5P2,-0.00244486795801537,0.676845079360138,0,1,0
ENSG00000270449,-0.00183225815574438,0.590788924926317,0,1,0
ENSG00000270457,-0.0060147965401622,0.590788924926317,0,1,0
ENSG00000270462,-0.0331683804690878,0.779105496410998,0,1,0
LOC100421651,-0.014001085696334,0.841413451961227,0,1,0
ENSG00000270477,-3.23569950288418e-05,0.676845079360138,0,1,0
BNIP3P37,-0.0193068404949447,0.864472014010572,0,1,0
SLC66A2P2,-0.0112598931900988,0.931608131186897,0,1,0
ENSG00000270482,-0.00111364170350892,0.859130468764275,0,1,0
ENSG00000270487,-0.0278565084744163,0.264628966085612,0,1,0
ENSG00000270488,0.00177432438753028,0.590788924926317,0,1,0
ENSG00000270495,-0.00166515527583543,0.627235734867203,0,1,0
ENSG00000270496,-0.0082673357363786,0.776671648486053,0,1,0
ENSG00000270497,-0.0111898467664335,0.30072733482293,0,1,0
ENSG00000270503,0.0253948456512662,3.23581356165722e-07,1.89542509080776,0.0127225717617239,0.0481340276246003
ENSG00000270504,9.93719415486772e-05,0.0662280374625288,0,1,0
ENSG00000270506,-0.00361288751093147,0.765950662814877,0,1,0
ENSG00000270507,0.00250526897835338,0.0017490316411704,0,1,0
LOC100420680,-0.0207637917770208,0.319409144501123,0,1,0
ENSG00000270512,6.36799208713435e-05,0.590788924926317,0,1,0
ENSG00000270513,-0.00341409650174121,0.65447608885245,0,1,0
ENSG00000270518,-0.00304445711860891,0.754378780430953,0,1,0
ENSG00000270521,-0.00942653000483997,0.741818412778394,0,1,0
ENSG00000270522,-0.0090427530172923,0.116739506261163,0,1,0
FAM133EP,-0.0332749944459841,0.758740500897342,0,1,0
CSTBP1,-0.0127499093352987,0.795971981363145,0,1,0
ENSG00000270532,-0.0103629514015118,0.765950662814877,0,1,0
ENSG00000270533,-0.118775302290391,0.912033477974373,0,1,0
ENSG00000270540,0.00992879373927671,0.602896442588803,0,1,0
ENSG00000270541,-0.00955473095206187,0.676845079360138,0,1,0
ENSG00000270544,-0.0119627767050746,0.676845079360138,0,1,0
LINC01235,-0.0212983164361728,0.354856367788508,0,1,0
ENSG00000270549,-0.00539321645544836,0.345569210691506,0,1,0
LOC107984970,-0.0242746450715581,0.765356400033421,0,1,0
EIF3EP4,-0.0278225546751419,0.414275116638848,0,1,0
ENSG00000270555,-0.013089360214865,0.372954023091023,0,1,0
ENSG00000270558,0.00710865127978079,0.0154049611256069,0,1,0
ENSG00000270560,-0.0283783890654604,0.915796311548542,0,1,0
LOC105374811,-0.0247281836580473,0.910995504680012,0,1,0
ENSG00000270575,-0.0219801062407459,0.978005132482289,0,1,0
ENSG00000270576,-0.0075813183226815,0.65447608885245,0,1,0
ENSG00000270577,-0.00798644884982289,0.795971981363145,0,1,0
ENSG00000270578,-0.00323800306182185,0.834869235590135,0,1,0
PKD1P6-NPIPP1,0.00053191797327026,0.565403985810103,0,1,0
ENSG00000270584,0.00326370296108261,0.456823844541659,0,1,0
SNX2P1,-0.0411800769295059,0.954113119172087,0,1,0
ENSG00000270587,0.00781582034915184,0.887722885861515,0,1,0
ENSG00000270588,0,0.590788924926317,0,1,0
ENSG00000270589,-0.0384492641127846,0.877036783783596,0,1,0
ENSG00000270591,-0.0248399137331384,0.615745129936406,0,1,0
HCG17,-0.0574668356639552,0.055576201157949,0,1,0
ENSG00000270605,0.00716367431360731,1.43640547874464e-06,1.24813152871494,0.0564765906132816,0.00894120777225861
PPIAP52,-0.0391154688943855,0.503988288479804,0,1,0
ENSG00000270607,-0.0189053219818768,0.899373497651663,0,1,0
ENSG00000270614,-0.0310976344611793,0.740371226074874,0,1,0
URGCP-MRPS24,-0.0094544275727652,0.00303243855164479,0,1,0
ENSG00000270618,0.00432829510498439,6.52464616098879e-06,0.590851617296924,0.256536037757757,0.00255738016291839
ENSG00000270620,-0.00327718817030674,0.0253150894457507,0,1,0
ENSG00000270627,0.00179378351668981,0.765950662814877,0,1,0
NBPF14,-0.0753915012352921,0.994902434585421,0,1,0
ENSG00000270632,-0.0194996137558071,0.0349649336169445,0,1,0
ENSG00000270638,-0.00638427939323297,0.470473139770543,0,1,0
ECM1P1,-0.00619596462359237,0.65447608885245,0,1,0
TSIX,0.000595044693338229,0.873574272064231,0,1,0
TAF15,-0.135556745043646,0.987980717716242,0,1,0
ENSG00000270652,-0.0069235484614356,0.266758185866473,0,1,0
ENSG00000270654,-0.00762663051963019,0.199918292419836,0,1,0
ENSG00000270659,-0.0167399424517905,0.827961352153607,0,1,0
ENSG00000270664,0.0019022799833961,0.776671648486053,0,1,0
YTHDF3-DT,-0.0111235648445907,0.962772793369152,0,1,0
ENSG00000270679,-0.0346108181890679,0.711116690305862,0,1,0
ENSG00000270681,-0.0210693468798208,0.925358757906447,0,1,0
ENSG00000270682,-0.00176094290016812,0.834869235590135,0,1,0
ENSG00000270688,0.00470306740172793,0.627235734867203,0,1,0
