,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa00830.1,8.00813576264722e-35,3.48562369895024e-08,0.161,0.092,2.49053022218328e-32,7,hsa00830
hsa04640.1,8.75797901416434e-35,1.36481645377814e-08,0.286,0.169,2.72373147340511e-32,7,hsa04640
hsa05171.1,2.66857063842398e-34,2.42463349574183e-07,0.6,0.467,8.29925468549859e-32,7,hsa05171
hsa00910,2.08098746389081e-32,8.6745903652522e-08,0.63,0.407,6.47187101270043e-30,7,hsa00910
hsa04020.1,9.54986449033433e-32,9.58532924388296e-08,0.746,0.596,2.97000785649398e-29,7,hsa04020
hsa00790.1,2.68610106376719e-27,1.89372906305723e-08,0.192,0.094,8.35377430831597e-25,7,hsa00790
hsa00564,7.81294722075384e-26,9.74054467679845e-08,0.481,0.307,2.42982658565444e-23,7,hsa00564
hsa05205.1,7.64125393451646e-23,2.49463579581971e-07,0.535,0.412,2.37642997363462e-20,7,hsa05205
hsa04115,2.49569446770924e-20,1.25278071922025e-07,0.632,0.51,7.76160979457573e-18,7,hsa04115
hsa04614.1,4.56201824109054e-19,3.52169955401097e-08,0.126,0.091,1.41878767297916e-16,7,hsa04614
hsa00140.1,8.09083442616597e-18,4.28174666381887e-08,0.369,0.322,2.51624950653762e-15,7,hsa00140
hsa04742.1,5.49565940065912e-15,2.22585008981607e-08,0.527,0.328,1.70915007360498e-12,7,hsa04742
hsa00010.1,2.06329868239615e-14,9.006287274998e-09,0.316,0.348,6.41685890225203e-12,7,hsa00010
hsa00604,6.7401952740116e-13,4.41801401270419e-09,0.143,0.077,2.09620073021761e-10,7,hsa00604
hsa05162.1,5.5365587950437e-12,9.51724072005984e-08,0.604,0.504,1.72186978525859e-09,7,hsa05162
hsa05169.1,4.38370815032991e-11,1.17314310738585e-07,0.417,0.303,1.3633332347526e-08,7,hsa05169
hsa05340.1,6.17348311856478e-11,3.39734975210321e-09,0.302,0.195,1.91995324987365e-08,7,hsa05340
hsa00515.1,1.45209151870901e-10,1.01406931190172e-08,0.427,0.301,4.51600462318501e-08,7,hsa00515
hsa00860.1,5.07033573346489e-10,5.7249015323485e-08,0.206,0.152,1.57687441310758e-07,7,hsa00860
hsa00512.1,2.14649125941553e-09,1.31425401365019e-08,0.306,0.193,6.67558781678229e-07,7,hsa00512
hsa04136,3.45709356287348e-09,3.37565977421325e-08,0.387,0.262,1.07515609805365e-06,7,hsa04136
