,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
hsa04640.10,3.61098011530716e-40,0.000133541393586652,0.158,0.173,1.12301481586053e-37,8,hsa04640
hsa04810.8,4.66120426570641e-36,0.000860163530230986,0.319,0.266,1.44963452663469e-33,8,hsa04810
hsa05146.11,5.92121959725255e-29,0.000319887044255087,0.227,0.276,1.84149929474554e-26,8,hsa05146
hsa05207.8,7.43601388980454e-29,0.000415072170473646,0.355,0.31,2.31260031972921e-26,8,hsa05207
hsa00061.7,4.43015239306679e-27,0.000266322848375364,0.113,0.16,1.37777739424377e-24,8,hsa00061
hsa05235.10,1.77874865653173e-26,0.000675292427112852,0.264,0.292,5.53190832181368e-24,8,hsa05235
hsa00071.9,6.57281238385971e-26,0.000830452243869725,0.246,0.234,2.04414465138037e-23,8,hsa00071
hsa04152.8,1.23547150533409e-25,0.000532103262759671,0.336,0.309,3.84231638158901e-23,8,hsa04152
hsa00051.9,1.34866891953824e-25,0.000112245374868497,0.205,0.186,4.19436033976394e-23,8,hsa00051
hsa00430.10,2.24124004710085e-24,0.000117006640097546,0.156,0.112,6.97025654648364e-22,8,hsa00430
hsa05132.9,2.43080010496734e-24,0.000775580024493004,0.372,0.321,7.55978832644843e-22,8,hsa05132
hsa04922.13,9.84104362500655e-24,0.000432421399210242,0.265,0.26,3.06056456737704e-21,8,hsa04922
hsa05224.10,1.76279995575901e-23,0.000446780465472188,0.328,0.336,5.48230786241052e-21,8,hsa05224
hsa04915.10,1.0881512585743e-22,0.000326486865622012,0.327,0.297,3.38415041416607e-20,8,hsa04915
hsa04371.12,2.57459144177875e-22,0.000108876735795185,0.312,0.3,8.00697938393192e-20,8,hsa04371
hsa04514.12,2.76637042686868e-22,0.000180650677241452,0.244,0.262,8.60341202756159e-20,8,hsa04514
hsa00620.11,6.68225829463978e-22,0.000490450231535865,0.143,0.178,2.07818232963297e-19,8,hsa00620
hsa05100.10,3.36388106701845e-20,0.000274248177385403,0.299,0.301,1.04616701184274e-17,8,hsa05100
hsa00240.9,7.85127392839918e-20,0.000285445355590904,0.178,0.225,2.44174619173215e-17,8,hsa00240
hsa05322.8,2.27635581883714e-19,9.47233773179082e-05,0.127,0.184,7.07946659658351e-17,8,hsa05322
hsa05211.6,5.04410276651295e-19,0.000633203484649696,0.308,0.328,1.56871596038553e-16,8,hsa05211
hsa00511.8,5.30265266635577e-19,5.83369115331858e-05,0.096,0.128,1.64912497923664e-16,8,hsa00511
hsa03008.9,1.37324315183759e-18,0.000288088154555791,0.271,0.282,4.27078620221489e-16,8,hsa03008
hsa00450.9,1.35899363655147e-17,0.000248955126889255,0.051,0.122,4.22647020967508e-15,8,hsa00450
