"cluster","gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"8","AFM",1.41268176830581,0.301,0.16,3.41256727349265e-34
"8","ND5",1.5205991775845,0.439,0.352,4.34640786304931e-27
"8","SLC6A13",1.3060578022196,0.355,0.227,8.72954464047827e-27
"8","PRODH2",1.32163634211624,0.348,0.216,2.69309072781533e-26
"8","ND4L",1.55182798546626,0.451,0.377,2.40855308455458e-24
"8","COX2",1.71383472185685,0.399,0.301,1.76916405554743e-23
"8","ND2",1.48752623857495,0.29,0.18,6.39547151562036e-23
"8","LRP2",1.1511073282702,0.384,0.267,9.7011650495216e-20
"8","GPX3",1.1596901262125,0.359,0.252,1.71832867943278e-18
"8","ND1",1.31199261837573,0.313,0.228,9.91588285375721e-15
"8","CYTB",1.46432812908145,0.341,0.267,5.13712473100456e-14
"8","MTCO1P12",1.34954707784255,0.359,0.291,1.17515950348293e-13
"8","CUBN",0.737954465520588,0.341,0.242,3.10434872510644e-11
"8","ATP6",1.43851127899958,0.378,0.32,8.66556550113544e-11
"8","ENSG00000281181",1.22698560227097,0.456,0.422,7.42975961746173e-10
"8","GOLGA4",0.976628861793624,0.535,0.553,1.37292571377361e-08
"8","USP34",0.34323436064601,0.309,0.493,1.20723340802314e-07
"8","PPIP5K2",0.301588161111488,0.205,0.339,1.5400552267892e-06
"8","ZNF91",0.255549875047872,0.213,0.349,2.17596075711904e-06
"8","ATP8",1.42227207710219,0.312,0.259,2.35933889537895e-06
"9","CRYAB",3.25505336520306,0.613,0.085,0
"9","ENSG00000285417",3.14814076656558,0.705,0.073,0
"9","VCAM1",2.85623785134158,0.467,0.044,0
"9","MEG3",2.68474734129508,0.395,0.055,0
"9","TPM1",2.55794883931314,0.716,0.203,0
"9","ITGB8",2.53775426586192,0.751,0.206,0
"9","ALPK2",2.52715379290002,0.588,0.048,0
"9","FSTL3",2.49912883620025,0.317,0.037,0
"9","UGT2B7",2.0954919850217,0.645,0.157,0
"9","CREB5",2.09055197746144,0.416,0.038,0
"9","ENSG00000262619",2.06814078769432,0.336,0.021,0
"9","VMP1",2.05429592971288,0.824,0.36,0
"9","CDH6",1.89991189847049,0.352,0.037,0
"9","SULT1C4",1.71007422918191,0.38,0.059,0
"9","IL32",1.62592968652671,0.289,0.025,0
